grid,n,beta_bd,c,a_cl,energy,converged,Bind,Sep,Inside,n_core,delta_min,delta_max,delta_mean,n_deep,deep_mass_frac,u_min,u_max,u_std
15x15,225,10.0,0.5,3.0,5.8812924052121796,True,0.835976388914928,0.9395661596898269,0.9100396079547884,102,1,10,4.147,85,0.8314251189683876,0.0,0.9636872157591753,0.4473655269485865
15x15,225,10.0,0.5,3.5,4.752096057745411,True,0.8642379993276212,0.944278351680263,0.9413444612145254,100,1,10,4.200,84,0.8375965574419428,0.0,0.9805022319837018,0.4567768454492891
15x15,225,10.0,0.5,3.9,4.088291527348323,True,0.8842988613970355,0.9474526422841925,0.9609576577490399,100,1,10,4.200,84,0.838000216036458,0.0,0.9903341494863119,0.46271919532654354
15x15,225,20.0,0.3,2.0,9.979842428827542,True,0.7464467023897338,0.9266039520643933,0.9219876911696797,57,1,7,3.263,45,0.7856874157052871,0.0,0.9594378696515465,0.4206005935395964
15x15,225,20.0,0.3,3.0,5.823639871781617,True,0.8216614220903874,0.9439833505106093,0.9650827969010449,57,1,5,2.491,42,0.7350943659374316,0.0,0.9877480668803648,0.433535519539327
15x15,225,20.0,0.3,3.5,4.678921458110099,True,0.8537113257249237,0.9409115630985159,0.97812898092903,61,1,8,3.574,49,0.8050174857928496,0.0,1.0,0.4367148067554088
15x15,225,20.0,0.3,3.9,3.741958943830524,True,0.8746794225692571,0.9545169797653174,0.9804866453971388,66,1,5,2.742,51,0.7820876609079245,0.0,0.9989530717627482,0.44165796204106716
15x15,225,20.0,0.4,2.0,9.711820114348935,True,0.7566011394041345,0.9239798850834742,0.8943495201608207,79,1,7,3.278,64,0.81004625493746,0.007295699947461665,0.9400881336016007,0.43773381513674414
15x15,225,20.0,0.4,3.0,5.646568218068838,True,0.8248558783984157,0.9544106226753069,0.9498009522443185,79,1,6,3.152,64,0.8102118321635847,0.0,0.9728897033536019,0.46161350343552615
15x15,225,20.0,0.4,3.5,4.593373045820478,True,0.8573742317103787,0.9511522787276786,0.9546667137485257,79,1,7,3.278,64,0.8104578667374259,0.0,0.9764638239765465,0.46265138040939024
15x15,225,20.0,0.4,3.9,3.7977315064656207,True,0.8786555459662241,0.9559896150189753,0.966887478487521,80,1,7,3.212,65,0.8139790474696208,0.0,0.9832527763674933,0.4669207766290092
15x15,225,20.0,0.5,2.0,10.342827849060201,False,0.7563745136733317,0.940197143159848,0.8898864380502416,102,1,9,4.020,85,0.8315922855898993,0.0,0.9526648537308351,0.4461336174804898
